column,ks_score,FDR,rank_ks,rank_FDR,average_rank
merch_state_avg_3,0.5271567068944475,0.2532561505065123,338.0,305.5,321.75
card_zip_med_3,0.521339815678175,0.256150506512301,333.0,310.0,321.5
card_merch_med_1,0.5196297653155257,0.2619392185238784,328.0,314.5,321.25
Cardnum_med_14,0.4779370516187161,0.2879884225759768,297.0,345.5,321.25
card_merch_med_3,0.5213551962709431,0.2547033285094066,335.0,307.5,321.25
card_zip_med_1,0.5168879019885415,0.2633863965267728,324.0,316.5,320.25
card_state_med_3,0.5189586728814353,0.2575976845151954,327.0,312.0,319.5
Cardnum_med_30,0.4807113009984898,0.2793053545586107,299.0,339.5,319.25
Merchnum_avg_3,0.5115943515785819,0.2590448625180897,319.0,313.0,316.0
card_zip_med_30,0.5197277915536596,0.2460202604920405,330.0,297.5,313.75
card_zip_med_7,0.5108670788027453,0.2489146164978292,317.0,302.0,309.5
card_merch_med_30,0.5156419849405076,0.2445730824891461,323.0,295.0,309.0
card_zip_med_14,0.5117690136790897,0.2460202604920405,320.0,297.5,308.75
card_state_med_7,0.5038981344453894,0.2489146164978292,312.0,302.0,307.0
Cardnum_med_7,0.4704831177739176,0.2648335745296671,294.0,319.0,306.5
merch_state_med_0,0.4926676752269645,0.2547033285094066,305.0,307.5,306.25
card_merch_med_14,0.5101065073774427,0.2460202604920405,315.0,297.5,306.25
card_merch_med_7,0.5090618512842695,0.2460202604920405,314.0,297.5,305.75
card_state_med_30,0.5109342103046098,0.2416787264833574,318.0,292.5,305.25
merch_zip_med_0,0.4910359301108535,0.2518089725036179,303.0,304.0,303.5
merch_zip_total_14,0.4728366155688949,0.256150506512301,295.0,310.0,302.5
Merchnum_med_0,0.4936016845377209,0.2431259044862518,307.0,294.0,300.5
card_state_med_14,0.4937623683281587,0.2402315484804631,308.0,289.5,298.75
merch_zip_avg_7,0.4903873187168436,0.2402315484804631,302.0,289.5,295.75
Merchnum_actual/med_30,0.3902678509085022,0.2677279305354558,262.0,327.0,294.5
merch_state_avg_7,0.4853005493587149,0.2344428364688856,300.0,284.0,292.0
Merchnum_total_7,0.4927139060390907,0.2214182344428364,306.0,276.0,291.0
merch_zip_max_30,0.476868378652031,0.2387843704775687,296.0,286.0,291.0
merch_state_total_14,0.4608998287812825,0.2402315484804631,289.0,289.5,289.25
merch_zip_med_1,0.4672227437254694,0.2387843704775687,292.0,286.0,289.0
Merchnum_max_14,0.4493273016183433,0.2387843704775687,287.0,286.0,286.5
merch_state_med_1,0.4665767588292114,0.2301013024602026,291.0,280.5,285.75
Merchnum_actual/med_14,0.3642661018835839,0.2691751085383502,240.0,330.5,285.25
merch_zip_actual/med_30,0.3879578238771661,0.256150506512301,260.0,310.0,285.0
merch_zip_avg_14,0.4472123699496872,0.2315484804630969,285.0,282.5,283.75
Merchnum_med_1,0.4611166038796443,0.2185238784370477,290.0,275.0,282.5
merch_state_max_30,0.468362910851302,0.2127351664254703,293.0,272.0,282.5
Merchnum_actual/avg_30,0.4018855849946136,0.2402315484804631,271.0,289.5,280.25
Cardnum_count_1,0.3781293134800078,0.2489146164978292,258.0,302.0,280.0
Merchnum_avg_7,0.4416183526485904,0.2272069464544139,282.0,278.0,280.0
merch_state_avg_14,0.4358293290186356,0.2272069464544139,281.0,278.0,279.5
merch_state_actual/med_30,0.3851935685439233,0.2474674384949348,259.0,300.0,279.5
merch_zip_med_3,0.4450130787345899,0.2141823444283647,284.0,273.0,278.5
merch_state_med_3,0.4473229722151929,0.2083936324167872,286.0,269.5,277.75
merch_zip_avg_30,0.4146362299500562,0.2083936324167872,277.0,269.5,273.25
merch_state_avg_30,0.3980084068851012,0.2069464544138929,270.0,268.0,269.0
merch_zip_actual/avg_30,0.3764962996319319,0.2272069464544139,257.0,278.0,267.5
Merchnum_avg_14,0.3934096096474557,0.2112879884225759,264.0,271.0,267.5
Cardnum_count_3,0.4141564934581174,0.170767004341534,276.0,257.0,266.5
merch_zip_total_30,0.4296256971376094,0.1664254703328509,279.0,254.0,266.5
Merchnum_med_3,0.431859822835604,0.1635311143270622,280.0,251.0,265.5
merch_state_actual/avg_30,0.3740004812723253,0.2170767004341534,255.0,274.0,264.5
card_state_count_1,0.3963472138323302,0.1794500723589001,267.0,261.5,264.25
merch_state_actual/med_14,0.3614975061515137,0.2416787264833574,236.0,292.5,264.25
merch_state_total_30,0.4045301788709519,0.1635311143270622,274.0,251.0,262.5
Merchnum_max_30,0.4441315548619623,0.1316931982633864,283.0,238.5,260.75
card_state_count_3,0.4063471811124006,0.1360347322720694,275.0,242.5,258.75
merch_zip_actual/med_14,0.3594588096930321,0.2315484804630969,234.0,282.5,258.25
merch_zip_med_7,0.3723181204283498,0.1895803183791606,252.0,264.0,258.0
card_state_actual/toal_1,0.3964394973889384,0.1403762662807525,268.0,244.0,256.0
Merchnum_actual/avg_14,0.3679293094601307,0.1924746743849493,245.0,265.0,255.0
Merchnum_avg_30,0.3718560571500982,0.1678726483357453,251.0,256.0,253.5
Merchnum_total_14,0.3946221390122013,0.1331403762662807,266.0,240.0,253.0
Merchnum_actual/med_7,0.3483275118939726,0.2301013024602026,220.0,280.5,250.25
card_zip_count_1,0.3624299351119278,0.1794500723589001,238.0,261.5,249.75
card_merch_count_3,0.3729976265586288,0.1418234442836468,253.0,245.0,249.0
merch_zip_med_14,0.3656163888295762,0.1664254703328509,241.0,254.0,247.5
card_merch_count_1,0.3589343337054873,0.1837916063675832,232.0,263.0,247.5
merch_state_med_7,0.3608077388732374,0.1765557163531114,235.0,259.5,247.25
card_zip_count_3,0.3718220462300554,0.1360347322720694,249.0,242.5,245.75
card_zip_actual/toal_1,0.362522218668536,0.1635311143270622,239.0,251.0,245.0
merch_state_actual/med_7,0.3514916181222735,0.2011577424023155,223.0,267.0,245.0
merch_zip_actual/med_7,0.3488544808285363,0.1939218523878437,222.0,266.0,244.0
merch_zip_actual/avg_14,0.356988009837436,0.1736613603473227,230.0,258.0,244.0
card_merch_actual/toal_1,0.3590266172620956,0.1664254703328509,233.0,254.0,243.5
merch_state_actual/avg_14,0.3532016239680117,0.1765557163531114,227.0,259.5,243.25
merch_zip_med_30,0.3690671617065887,0.1316931982633864,247.0,238.5,242.75
card_state_day_since,0.40316805042662,0.1056439942112879,272.0,212.0,242.0
merch_state_med_14,0.3545591003951388,0.1461649782923299,228.0,246.0,237.0
card_merch_actual/toal_3,0.3675392300270482,0.1230101302460202,244.0,229.5,236.75
Merchnum_actual/avg_7,0.3485650541313396,0.1606367583212735,221.0,249.0,235.0
card_zip_actual/toal_3,0.3718374268228233,0.1114327062228654,250.0,218.5,234.25
card_merch_day_since,0.3675238494342802,0.1172214182344428,243.0,224.0,233.5
merch_zip_actual/avg_7,0.3561084669673502,0.130246020260492,229.0,236.0,232.5
Cardnum_count_0,0.3375341419666997,0.1548480463096961,214.0,248.0,231.0
merch_state_actual/avg_7,0.3523850057516962,0.130246020260492,226.0,236.0,231.0
merch_state_med_30,0.3684113608314441,0.1085383502170767,246.0,214.5,230.25
card_zip_day_since,0.3718220462300552,0.1013024602026049,248.0,202.5,225.25
card_state_actual/toal_3,0.403183431019388,0.0868306801736613,273.0,171.0,222.0
state_risk,0.3741645483480029,0.0940665701881331,256.0,185.5,220.75
Merchnum_med_7,0.3307729135163068,0.1259044862518089,209.0,232.0,220.5
card_zip_actual/max_1,0.3321577678437302,0.1186685962373371,212.0,226.0,219.0
Merchnum_actual/med_3,0.2953118328375744,0.1519536903039073,187.0,247.0,217.0
card_merch_actual/max_1,0.3288774947360422,0.1157742402315484,207.0,221.5,214.25
Merchnum_actual/avg_3,0.3085921177422438,0.1287988422575977,193.0,234.0,213.5
merch_state_actual/avg_3,0.3022146918404754,0.1244573082489146,189.0,231.0,210.0
card_merch_actual/max_3,0.3409989376706931,0.1013024602026049,217.0,202.5,209.75
merch_zip_actual/avg_3,0.3037541088830668,0.1201157742402315,191.0,227.0,209.0
merch_zip_actual/med_3,0.2859155148713527,0.1345875542691751,173.0,241.0,207.0
merch_state_actual/med_3,0.2876563709364491,0.130246020260492,175.0,236.0,205.5
card_state_actual/max_1,0.3581511476893709,0.08972503617945,231.0,178.0,204.5
Merchnum_med_14,0.338468106760545,0.0969609261939218,216.0,192.5,204.25
card_zip_actual/max_3,0.3437422923141975,0.0955137481910275,218.0,188.5,203.25
card_zip_actual/toal_0,0.2948319182779915,0.109985528219971,186.0,216.5,201.25
card_state_count_0,0.3121827627537778,0.1027496382054992,197.0,205.0,201.0
card_zip_count_0,0.2947703959069193,0.1056439942112879,184.0,212.0,198.0
card_state_actual/toal_0,0.3123365686814583,0.0984081041968162,198.0,197.0,197.5
card_merch_actual/toal_0,0.2911545543237306,0.1056439942112879,179.0,212.0,195.5
card_state_actual/max_3,0.3620132568244926,0.0709117221418234,237.0,154.0,195.5
card_merch_count_0,0.2910930319526584,0.1041968162083936,177.0,208.0,192.5
card_zip_actual/max_0,0.2527796192321692,0.1215629522431259,154.0,228.0,191.0
card_merch_actual/max_0,0.2502250385499756,0.1230101302460202,152.0,229.5,190.75
card_state_count_7,0.4231065071325997,0.0419681620839363,278.0,101.0,189.5
card_merch_count_7,0.3943627167130529,0.0477568740955137,265.0,114.0,189.5
Cardnum_count_7,0.3967776923621913,0.0463096960926193,269.0,109.5,189.25
card_zip_actual/toal_7,0.3521501790459033,0.0665701881331403,224.0,147.0,185.5
card_state_actual/max_0,0.26461996013199,0.1041968162083936,162.0,208.0,185.0
Merchnum_total_30,0.3313745150522471,0.0767004341534008,211.0,159.0,185.0
card_merch_actual/toal_7,0.34520231344593,0.0694645441389291,219.0,151.0,185.0
Merchnum_actual/avg_1,0.2731145212895115,0.1013024602026049,167.0,202.5,184.75
merch_zip_day_since,0.2425094788189317,0.1157742402315484,144.0,221.5,182.75
Merchnum_med_30,0.3178314690801005,0.0795947901591895,200.0,164.0,182.0
merch_state_actual/avg_1,0.2687211918548209,0.0984081041968162,164.0,197.0,180.5
merch_zip_actual/avg_1,0.2711261289405173,0.0969609261939218,166.0,192.5,179.25
card_state_actual/toal_7,0.352156055278162,0.0564399421128798,225.0,133.5,179.25
card_zip_actual/max_7,0.32929724469034,0.0680173661360347,208.0,149.0,178.5
card_merch_actual/max_7,0.32475015384488,0.0694645441389291,204.0,151.0,177.5
card_zip_actual/med_7,0.2292333339869899,0.1172214182344428,128.0,224.0,176.0
Merchnum_actual/med_1,0.2359563669277011,0.1114327062228654,133.0,218.5,175.75
card_merch_actual/med_7,0.2272743895746558,0.1172214182344428,125.0,224.0,174.5
card_zip_count_7,0.3901162708263743,0.0347322720694645,261.0,82.5,171.75
card_merch_count_0_by_7,0.237666105671973,0.1041968162083936,134.0,208.0,171.0
Cardnum_actual/avg_30,0.3210117126886574,0.0607814761215629,203.0,138.5,170.75
merch_state_actual/med_1,0.2393708585222073,0.0984081041968162,136.0,197.0,166.5
card_state_count_0_by_7,0.2613161598368116,0.0882778581765557,159.0,174.0,166.5
merch_zip_actual/med_1,0.2421603104271048,0.0955137481910275,143.0,188.5,165.75
Cardnum_day_since,0.2932803703771385,0.0665701881331403,183.0,147.0,165.0
card_zip_count_0_by_7,0.2319599057550282,0.0984081041968162,130.0,197.0,163.5
Cardnum_actual/toal_0,0.3113508529785164,0.0535455861070911,196.0,129.0,162.5
card_merch_actual/toal_14,0.3093416489736059,0.0520984081041968,194.0,126.0,160.0
card_zip_actual/avg_1,0.2179075640620052,0.1013024602026049,115.0,202.5,158.75
card_state_actual/max_7,0.326909313064665,0.0463096960926193,205.0,109.5,157.25
card_state_actual/med_7,0.2438744786040262,0.0781476121562952,148.0,161.5,154.75
card_state_actual/med_3,0.2259684859889811,0.0940665701881331,123.0,185.5,154.25
Cardnum_count_1_by_30,0.3027246998319286,0.0492040520984081,190.0,118.5,154.25
card_merch_actual/med_1,0.2085714107010686,0.1041968162083936,100.0,208.0,154.0
card_merch_actual/avg_1,0.2164743643691807,0.0984081041968162,111.0,197.0,154.0
card_zip_actual/med_1,0.2082330376601716,0.1041968162083936,99.0,208.0,153.5
card_merch_actual/max_14,0.2912554741610826,0.0520984081041968,180.0,126.0,153.0
card_zip_count_30,0.3273815484570916,0.0405209840810419,206.0,98.0,152.0
card_zip_actual/avg_3,0.2242640447571243,0.08972503617945,122.0,178.0,150.0
card_merch_actual/avg_3,0.2212312634164231,0.0911722141823444,118.0,181.5,149.75
Merchnum_day_since,0.1777992517464039,0.1273516642547033,66.0,233.0,149.5
card_zip_actual/max_14,0.290833231259766,0.0506512301013024,176.0,122.5,149.25
card_merch_actual/med_3,0.2131465026835796,0.0969609261939218,106.0,192.5,149.25
card_state_actual/avg_3,0.2333136205031715,0.0810419681620839,132.0,165.5,148.75
card_zip_actual/toal_14,0.3076707734926813,0.0434153400868306,192.0,104.5,148.25
card_state_actual/avg_1,0.2390043062766151,0.0781476121562952,135.0,161.5,148.25
Cardnum_actual/med_30,0.2480433315147432,0.0665701881331403,149.0,147.0,148.0
Merchnum_actual/max_30,0.2838094420679957,0.0506512301013024,172.0,122.5,147.25
card_state_count_14,0.3933210877698312,0.0130246020260492,263.0,31.0,147.0
card_zip_actual/avg_0,0.1832870739561891,0.1128798842257597,74.0,220.0,147.0
card_zip_actual/med_3,0.2145950829691719,0.0926193921852387,110.0,183.5,146.75
card_merch_actual/med_14,0.2121972463307881,0.0955137481910275,105.0,188.5,146.75
Cardnum_actual/avg_14,0.2495537457897853,0.0564399421128798,151.0,133.5,142.25
merch_state_count_0,0.2545683309766451,0.0535455861070911,155.0,129.0,142.0
Cardnum_actual/toal_1,0.3096887473290687,0.0376266280752532,195.0,89.0,142.0
card_merch_actual/avg_0,0.1810401051293564,0.1085383502170767,69.0,214.5,141.75
Merchnum_actual/max_14,0.2418917621611909,0.0636758321273516,140.0,142.0,141.0
merch_zip_actual/avg_0,0.198290341386168,0.0955137481910275,89.0,188.5,138.75
Cardnum_actual/max_30,0.3196794328331851,0.0318379160636758,202.0,74.0,138.0
card_state_actual/med_1,0.2138372715923545,0.0824891461649783,108.0,167.5,137.75
card_zip_actual/med_14,0.2090931711570393,0.0868306801736613,101.0,171.0,136.0
card_state_actual/med_14,0.2281821561663478,0.065123010130246,126.0,144.5,135.25
Cardnum_count_1_by_14,0.2744440856134098,0.0419681620839363,168.0,101.0,134.5
Cardnum_actual/avg_7,0.2409916524781997,0.0549927641099855,137.0,131.5,134.25
card_state_actual/avg_14,0.213602667471117,0.0781476121562952,107.0,161.5,134.25
card_state_actual/toal_14,0.2863059949566346,0.0390738060781476,174.0,94.0,134.0
card_state_count_30,0.3370966520233481,0.0217076700434153,213.0,48.5,130.75
card_state_actual/avg_7,0.2046873992457099,0.0810419681620839,96.0,165.5,130.75
card_state_actual/avg_0,0.1925742364565144,0.08972503617945,83.0,178.0,130.5
card_merch_actual/avg_7,0.1840408120356454,0.0926193921852387,77.0,183.5,130.25
card_merch_count_14,0.3730619534950973,0.004341534008683,254.0,6.5,130.25
merch_state_day_since,0.2229787525012661,0.0622286541244573,120.0,140.0,130.0
card_state_actual/avg_30,0.2115403547913228,0.0709117221418234,104.0,154.0,129.0
merch_state_actual/avg_0,0.1927085884940657,0.0882778581765557,84.0,174.0,129.0
card_zip_actual/med_0,0.168925673608196,0.0998552821997105,56.0,200.0,128.0
card_zip_actual/avg_7,0.1841051389721139,0.08972503617945,78.0,178.0,128.0
Dow_Risk,0.142109331886415,0.109985528219971,35.0,216.5,125.75
Cardnum_actual/max_0,0.2831664620632337,0.0332850940665701,170.0,79.5,124.75
card_state_actual/med_30,0.214557844573078,0.0607814761215629,109.0,138.5,123.75
card_merch_actual/avg_14,0.1834927643436993,0.0868306801736613,75.0,171.0,123.0
card_merch_actual/med_0,0.1667402271524355,0.0969609261939218,53.0,192.5,122.75
card_zip_count_14,0.3673543512954543,0.0028943560057887,242.0,3.5,122.75
Merchnum_actual/avg_0,0.1953009862921969,0.0709117221418234,88.0,154.0,121.0
card_zip_actual/avg_14,0.1821882185238116,0.085383502170767,72.0,169.0,120.5
Cardnum_actual/med_14,0.2322920686868337,0.0463096960926193,131.0,109.5,120.25
merch_zip_actual/med_0,0.1699285283218925,0.0911722141823444,58.0,181.5,119.75
card_state_actual/med_0,0.1764831983050097,0.0882778581765557,65.0,174.0,119.5
Merchnum_count_3,0.2694879511307596,0.0318379160636758,165.0,74.0,119.5
Cardnum_count_14,0.331074604622498,0.0115774240231548,210.0,28.0,119.0
Cardnum_actual/med_7,0.2209340462597926,0.0492040520984081,117.0,118.5,117.75
merch_zip_actual/toal_0,0.2297682491901761,0.0434153400868306,129.0,104.5,116.75
card_merch_actual/med_30,0.1895975909406483,0.0694645441389291,82.0,151.0,116.5
card_merch_actual/toal_30,0.2667134791664306,0.0289435600578871,163.0,68.0,115.5
card_state_actual/max_14,0.2642418557479801,0.0303907380607814,161.0,69.5,115.25
merch_zip_count_0,0.2559107829462925,0.0318379160636758,156.0,74.0,115.0
Cardnum_actual/med_3,0.2110748637109203,0.0520984081041968,103.0,126.0,114.5
merch_state_actual/toal_0,0.2170051617580948,0.0477568740955137,114.0,114.0,114.0
card_merch_actual/max_30,0.241626552663606,0.0376266280752532,139.0,89.0,114.0
card_merch_count_0_by_14,0.1814584528009561,0.0738060781476121,70.0,158.0,114.0
merch_state_actual/med_0,0.1643929172080943,0.08972503617945,49.0,178.0,113.5
Cardnum_actual/avg_3,0.206787796142908,0.0535455861070911,97.0,129.0,113.0
Cardnum_actual/max_1,0.2947750479241241,0.0173661360347322,185.0,39.0,112.0
merch_zip_actual/max_30,0.2221612662051851,0.0434153400868306,119.0,104.5,111.75
card_merch_actual/avg_30,0.1731584528031821,0.0781476121562952,61.0,161.5,111.25
card_zip_actual/med_30,0.18732687234177,0.0636758321273516,80.0,142.0,111.0
card_zip_actual/toal_30,0.2603780772286941,0.0260492040520984,158.0,62.5,110.25
Cardnum_actual/toal_3,0.2924430295387288,0.0173661360347322,181.0,39.0,110.0
card_zip_actual/max_30,0.2431800370500895,0.0318379160636758,146.0,74.0,110.0
card_merch_count_30,0.3380445060934414,0.0028943560057887,215.0,3.5,109.25
merch_zip_count_3,0.3125394990204833,0.0086830680173661,199.0,17.0,108.0
Merchnum_actual/med_0,0.1625417259789585,0.0824891461649783,48.0,167.5,107.75
card_zip_actual/avg_30,0.1714400332612553,0.0723589001447178,59.0,156.5,107.75
Cardnum_actual/avg_1,0.2006326209195604,0.0506512301013024,92.0,122.5,107.25
card_state_count_0_by_14,0.1817314972748861,0.0636758321273516,71.0,142.0,106.5
Cardnum_actual/med_0,0.1687944822713294,0.0723589001447178,54.0,156.5,105.25
merch_state_actual/max_30,0.2436157908339101,0.0260492040520984,147.0,62.5,104.75
merch_state_count_3,0.3180751546511925,0.0057887120115774,201.0,8.0,104.5
card_zip_count_0_by_14,0.1747706995122527,0.065123010130246,63.0,144.5,103.75
merch_zip_count_1,0.2926341183794144,0.0101302460202604,182.0,23.5,102.75
